Rank,Team,games_played,Games Won,Games Drawn,Games Lost,Goal Difference,Points
1,Liverpool,4,4,0,0,+5,12
2,Arsenal,4,3,0,1,+8,9
3,Tottenham,4,3,0,1,+7,9
4,Bournemouth,4,3,0,1,+1,9
5,Chelsea,4,2,2,0,+6,8
6,Everton,4,2,1,1,+2,7
7,Sunderland,4,2,1,1,+2,7
8,Man City,4,2,0,2,+4,6
9,Crystal Palace,4,1,3,0,+3,6
10,Newcastle,4,1,2,1,0,5
11,Fulham,4,1,2,1,-1,5
12,Brentford,4,1,1,2,-2,4
13,Brighton,4,1,1,2,-2,4
14,Man Utd,4,1,1,2,-3,4
15,Forest,4,1,1,2,-4,4
16,Leeds,4,1,1,2,-5,4
17,Burnley,4,1,0,3,-3,3
18,West Ham,4,1,0,3,-7,3
19,Aston Villa,4,0,2,2,-4,2
20,Wolves,4,0,0,4,-7,0
